alžběto	oslovení Alžběty
alžběty	ženy jménem Alžběta
alžír	africký stát
alžírská	typická pro Alžířany
alžírské	typické pro Alžířany
alžírský	typický pro Alžířany
alžírští	původem z Alžíru (muži)
alžířan	obyvatel Alžíru
alžířani	obyvateli Alžíru
alžířané	obyvatelé Alžíru
amabile	láskyplně (hudba)
amant	milenec, nápadník hovor.
amanti	milenci, nápadníci hovor.
amantova	milencova, nápadníkova hovor.
amantovi	milencovi, nápadníkovi hovor.
amantovo	milencovo, nápadníkovo hovor.
amantovy	milencovy, nápadníkovy hovor.
amantové	milenci, nápadníci hovor.
amantův	milencův, nápadníkův hovor.
amara	hořké léky
amarum	hořký lék
amasia	hypotetický budoucí světadíl
amazoňan	druh papouška
ambice	ctižádost
ambit	ochoz
ambity	ochozy
ambo	dvojice v loterii
ambon	kostelní řečniště
ambona	kostelní řečniště
ambony	kostelní řečniště množ.
ambra	základ parfému
ambrosie	pokrm bohů
ambry	základy parfémů
amchur	sušené strouhané mango
amchury	sušené strouhané mango množ.
amd	výrobce počítačových procesorů
ameba	měňavka
ameby	měňavky
americká	typická pro Nový svět
americké	typické pro Nový svět
americký	typický pro Nový svět
američan	obyvatel Nového světa
američtí	usazení v Novém světě
ametyst	modrá odrůda křemene
amfora	antická nádoba
amfory	antické nádoby
amgd	nápis na budovách Jezuitů
ami	koncovka 7.pád pl. žena
amid	přípona skupiny -C(=O)-N
amino	přepona skupiny -N&lt;
amiton	nervový plyn
amk	aminokyselina zkr.
amleth	bájný dánský vladař
ammán	jordánská metropole
ammánská	vyrobená v jordánské metropoli
ammánské	vyrobené v jordánské metropoli
ammánský	vyrobený v jordánské metropoli
ammánští	narození v jordánské metropoli
ammáňan	muž z jordánské metropole
ammáňani	muži z jordánské metropole
ammáňané	muži z jordánské metropole
amnestie	milost
amnézie	ztráta paměti
amoleta	pokrm z vajec
amolety	pokrmy z vajec
amon	nejvyšší bůh Egypta
amonova	zasvěcena nejvyššímu bohu Egypta
amonovi	zasvěceni nejvyššímu bohu Egypta
amonovo	zasvěceno nejvyššímu bohu Egypta
amonovy	zasvěceny nejvyššímu bohu Egypta
amonův	zasvěcen nejvyššímu bohu Egypta
amor	eros
amorita	vymřelý semita
amoriti	vymřelé semitské etnikum
amoritka	vymřelá semitka
amoritky	vymřelé semitky
amorité	vymřelé semitské etnikum
amoroso	rozněžněně (hudba)
amorova	Kupidova
amorovi	Kupidovi
amorovo	Kupidovo
amorovy	Kupidovy
amorův	Kupidův
amos	Jan ??? Komenský
amouse	??? bouche, druh předkrmu
amp	ampulka zkr. (farmacie)
amplion	tlampač
ampliony	tlampače
ampák	rod routovitých keřů
ampáky	rod routovitých keřů množ.
ampér	jednotka el. proudu
ampéry	jednotky el. proudu
amudarja	přítok Aralského moře
amunsen	norský polárník
amunseni	jmenovci norského polárníka
amur	řeka v Chabarovsku
amálie	oficiálně Amálka
amálčin	patřící Amálce
amálčina	vlastněná Amálkou
amálčini	vlastnění Amálkou
amálčino	vlastněné Amálkou
amálčiny	vlastněny Amálkou
amán	jordánská metropole
amánská	vyrobená v jordánské metropoli
amánské	vyrobené v jordánské metropoli
amánský	vyrobený v jordánské metropoli
amánští	narození v jordánské metropoli
amáňan	muž z jordánské metropole
amáňani	muži z jordánské metropole
amáňanka	žena z jordánské metropole
amáňanky	ženy z jordánské metropole
amáňané	muži z jordánské metropole
améba	měňavka
améby	měňavky
ana	spojovací výraz "a ona" zastr.
anabáze	vojenské tažení
anadyr	čukotská řeka
anakonda	amazonský had
anakondy	amazonští hadi
anakreon	ionský lyrik
analýza	rozbor
analýzy	rozbory
anand	mistr světa v šachu, Ind
anapest	veršová stopa
anatol	oficiálně Tolja
anatolie	území Malé Asie
anatolova	vlastněna Anatolem
anatolovi	vlastněni Anatolem
anatolovo	vlastněno Anatolem
anatolovy	vlastněny Anatolem
anatolové	muži doma oslovovaní Toljo
anatolův	vlastněn Anatolem
anatom	tělovědec
anatomie	tělověda
anatomka	tělovědkyně
anatomky	tělovědkyně množ.
anatomové	tělovědci
anch	nilský kříž
anchy	nilské kříže
ancus	??? Marcius, římský král
and	logický součin
andira	okrasný bobovitý strom
andiry	okrasné bobovité stromy
andoros	největší bahamský ostrov
andorra	pyrenejský ministát
andrea	přechýlené jméno Andreas
andrein	patřící Andree
andreina	vlastněná Andreou
andreini	ovládaní Andreou
andreino	vlastněné Andreou
andreiny	ovládány Andreou
